                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    130,                0.67576,                0.86795,                  1.155,                0.62317,                0.68907,                0.70359,                 0.5048,                 1.1631,                 1.1179,                 1.7982,               0.001552,               0.001552,               0.001552
                    131,                 0.6758,                0.87263,                 1.1507,                0.65694,                0.68283,                0.71328,                0.51142,                 1.1904,                0.98873,                 1.8471,               0.001486,               0.001486,               0.001486
                    132,                0.66512,                 0.8562,                 1.1501,                0.62849,                0.69812,                0.70785,                0.49849,                 1.1868,                  1.076,                 1.8528,                0.00142,                0.00142,                0.00142
                    133,                0.66885,                0.86792,                 1.1527,                0.66327,                0.68353,                0.71814,                0.50454,                   1.19,                  1.034,                 1.8184,               0.001354,               0.001354,               0.001354
                    134,                0.67191,                0.86519,                 1.1548,                0.63813,                0.71423,                0.72194,                0.51639,                 1.1625,                  1.055,                 1.8084,               0.001288,               0.001288,               0.001288
                    135,                0.67393,                0.85778,                  1.148,                0.64539,                0.67473,                0.70659,                0.50568,                  1.175,                 1.1206,                 1.8796,               0.001222,               0.001222,               0.001222
                    136,                0.67386,                0.86465,                 1.1473,                0.60829,                0.73499,                0.70731,                0.50437,                  1.189,                 1.0785,                 1.9041,               0.001156,               0.001156,               0.001156
                    137,                0.66929,                0.85957,                 1.1499,                0.62714,                0.71301,                0.70944,                0.50573,                 1.1812,                 1.0826,                 1.8743,                0.00109,                0.00109,                0.00109
                    138,                0.66487,                0.84971,                 1.1416,                0.59983,                0.73991,                0.70831,                0.50134,                 1.1897,                 1.0884,                 1.8631,               0.001024,               0.001024,               0.001024
                    139,                0.65999,                0.84771,                 1.1457,                0.65818,                0.66728,                0.70803,                 0.5022,                 1.2017,                 1.0824,                 1.8836,               0.000958,               0.000958,               0.000958
                    140,                0.65836,                0.85176,                 1.1434,                0.64187,                0.71074,                0.72074,                0.51332,                 1.1764,                 1.0527,                 1.8459,               0.000892,               0.000892,               0.000892
                    141,                0.66218,                 0.8332,                 1.1434,                0.58827,                0.76919,                0.72766,                0.51922,                 1.1689,                 1.0214,                  1.835,               0.000826,               0.000826,               0.000826
                    142,                0.65469,                0.83424,                 1.1401,                0.61367,                0.74062,                0.72603,                0.52155,                 1.1507,                 1.0001,                 1.8182,                0.00076,                0.00076,                0.00076
                    143,                0.64969,                0.82938,                 1.1391,                0.60064,                0.76182,                0.72254,                0.51673,                 1.1846,                 1.0456,                 1.8476,               0.000694,               0.000694,               0.000694
                    144,                0.66191,                0.84022,                 1.1392,                 0.6079,                0.74952,                0.71612,                 0.5161,                 1.1673,                 1.0842,                 1.8262,               0.000628,               0.000628,               0.000628
                    145,                0.65396,                0.83321,                  1.137,                0.59984,                 0.7538,                0.72591,                 0.5228,                 1.1774,                 1.0899,                 1.8504,               0.000562,               0.000562,               0.000562
                    146,                0.66254,                   0.84,                  1.142,                0.65333,                0.70946,                0.72573,                0.52228,                 1.1633,                 1.0566,                 1.8337,               0.000496,               0.000496,               0.000496
                    147,                 0.6526,                0.82717,                 1.1344,                0.62199,                0.74852,                  0.731,                0.52371,                  1.151,                 1.0346,                 1.8203,                0.00043,                0.00043,                0.00043
                    148,                0.64766,                0.82033,                 1.1357,                 0.6661,                0.69045,                0.73469,                0.53008,                 1.1637,                 1.0363,                 1.8274,               0.000364,               0.000364,               0.000364
                    149,                0.65181,                0.82789,                  1.137,                0.60292,                0.76133,                0.72593,                0.52415,                 1.1704,                 1.0354,                 1.8369,               0.000298,               0.000298,               0.000298
                    150,                 0.6509,                 0.8199,                 1.1358,                0.59674,                0.75868,                  0.723,                0.52086,                 1.1757,                 1.0962,                 1.8552,               0.000232,               0.000232,               0.000232
